day,bins,r_dc1100_dc1700,r_dc1100_airvisual,r_dc1700_airvisual,min_r,low_pair_count,low_pairs,flagged,abnormal_low_r
2020-04-20,24,0.8756654925045942,0.7068764171999992,0.9022848371000309,0.7068764171999992,0,,False,False
2020-04-21,24,0.9786281801797578,0.8066878446632886,0.7777589207253125,0.7777589207253125,0,,False,False
2020-04-22,22,0.8697244788089651,0.8183759112053051,0.6255141434684827,0.6255141434684827,0,,False,False
2020-04-23,24,0.9576722404826107,0.7895553221840625,0.901326470732208,0.7895553221840625,0,,False,False
2020-04-24,24,0.9869676275400768,0.8864007989331488,0.9056132086507319,0.8864007989331488,0,,False,False
2020-04-25,24,0.627719319223831,0.29895392828309036,0.8695565901569164,0.29895392828309036,2,r_dc1100_dc1700;r_dc1100_airvisual,True,False
2020-04-26,24,0.8844057809163491,0.6614158030983182,0.7842275046520885,0.6614158030983182,0,,False,False
2020-04-27,24,0.9960978972167234,0.9389541318915262,0.922658752373575,0.922658752373575,0,,False,False
2020-04-28,24,0.9757294989908054,0.8818042420219715,0.8637568537779259,0.8637568537779259,0,,False,False
2020-04-29,24,0.9602764092059731,0.47265149155625813,0.47154508786887184,0.47154508786887184,1,r_dc1700_airvisual,False,False
2020-04-30,24,0.9906214998531134,0.8011078374289023,0.7627873812017872,0.7627873812017872,0,,False,False
2020-05-01,24,0.9885085427207441,0.9526186909713753,0.9436328942536971,0.9436328942536971,0,,False,False
2020-05-02,24,0.9818879703672069,0.9748012361848084,0.9398844175570045,0.9398844175570045,0,,False,False
2020-05-03,24,0.968898002901693,0.8469012371945107,0.8213525995680077,0.8213525995680077,0,,False,False
2020-05-04,24,0.9911832351261249,0.7586023692464318,0.8139146960322181,0.7586023692464318,0,,False,False
2020-05-05,24,0.9874709988632202,0.8878733479270048,0.916260341888589,0.8878733479270048,0,,False,False
2020-05-06,24,0.9962102840126517,0.8042692421448773,0.8298362401032311,0.8042692421448773,0,,False,False
2020-05-07,24,0.991860667677594,0.8118218029107387,0.8302385794105803,0.8118218029107387,0,,False,False
2020-05-08,24,0.9950747177952006,0.8181274221131537,0.8567595529713256,0.8181274221131537,0,,False,False
2020-05-09,24,0.9936030735250495,0.891767665273279,0.909918620942522,0.891767665273279,0,,False,False
2020-05-10,24,0.9895513690789655,0.895213913228238,0.9169082066976312,0.895213913228238,0,,False,False
2020-05-11,24,0.995373773527411,0.9259402499377064,0.9410960673243838,0.9259402499377064,0,,False,False
2020-05-12,24,0.9865683029855901,0.5135959890097352,0.578844391082312,0.5135959890097352,0,,False,False
2020-05-13,24,0.9983341886024532,0.9022582011694281,0.9128895347167776,0.9022582011694281,0,,False,False
2020-05-14,24,0.9975637373774662,0.9629636741569382,0.9690199954522307,0.9629636741569382,0,,False,False
2020-05-15,24,0.9938744758083387,0.8756933460703883,0.8835457867934133,0.8756933460703883,0,,False,False
2020-05-16,24,0.9954604299174821,0.832484052161872,0.8532943200979906,0.832484052161872,0,,False,False
2020-05-17,24,0.993442624845735,0.8036867337025897,0.8215462802650559,0.8036867337025897,0,,False,False
2020-05-18,24,0.9722961914593947,0.638564002073035,0.6782231527396064,0.638564002073035,0,,False,False
2020-05-19,24,0.9796302183550404,0.8128725717593978,0.8868608549497917,0.8128725717593978,0,,False,False
2020-05-20,24,0.9953888329944195,0.9657062181935375,0.9607192002699256,0.9607192002699256,0,,False,False
